Move Name,Start-Up,Hit,Recovery,Blocked Advantage,Hit Advantage,Crouching Hit Advantage,Damage,Parry,Stun,Chains into itself,Special Cancel,Super Cancel
Jab,4,1,9,1,1,1,30,H+L,5,O,O,O
Far Jab,4,1,8,1,1,1,30,H+L,5,O,O,O
Strong,4,2,12,-1,0,1,100,H,11,X,O,O
Fierce,14,3,16,-1,1,3,145,H,19,X,X,X
Crouching Jab,4,1,9,1,1,1,30,H+L,5,O,O,O
Crouching Strong,7,1,13,0,1,2,90,H+L,7,X,X,X
Crouching Fierce,13,1*2,7,-9,Down,Down,80+60,H+L,3+5,X,X,X
Jumping Jab,4,11,-,-,-,-,40,H,9(5),X,X,X
Jumping Strong,5,2,-,-,-,-,80,H,13,X,X,X
Jumping Fierce,8,2,-,-,-,-,140,H,15,X,X,X
Short,5,2,10,0,0,0,40,H+L,3,X,O,O
Forward,5,2,12,0,1,2,105,H,9,X,O,O
Far Forward,11,2,14,-1,0,1,100,H,9,X,X,X
Roundhouse,16,4,29,-13,0,2,150,H,21,X,X,X
Crouching Short,5,1,8,2,2,2,30,L,3,X,O,O
Crouching Forward,8,2,12,-1,0,1,70,L,3,X,X,X
Crouching Roundhouse,11,1,29,-15,Down,Down,130,L,3,X,X,X
Jumping Short,4,-,-,-,-,-,60,H,7,X,X,X
Jumping Forward,9,2,-,-,-,-,90,H,11,X,X,X
Jumping Roundhouse,8,3,-,-,-,-,120,H,15,X,X,X
Towards + Strong,7,4,10,-2,-,-,110,H,9,X,X,X
Towards + Fierce,9,3,23,-1,-,-,180,H,24,X,X,X
Back + Fierce,8,3,23,-11,-,-,180,-,24,X,X,X
Throw,3,1,21,-,-,-,140,-,17,X,X,X
Universal Overhead,16 ~ 25,9,5,-5 ~ +7,0 ~ +8,+1 ~ +9,40,H,3,X,X,X
(Air) Down + Fierce,10,10,24,-,-,-,120,H,11,X,X,X
