Jab,3,1,5,5,5,5,20,H+L,3,O,O,O
Strong,5,4,10,0,1,2,90,H,9,X,O,O
Fierce,5,4,15,-4,-2,0,120,H,13,X,O,O
Far Strong,5,3,13,0,1,2,80,H,11,X,X,X
Far Fierce,9,3,19,-7,-5,-3,120(100),H,11,X,X,X
Crouching Jab,4,2,5,3,3,3,20,H+L,3,O,O,O
Crouching Strong,5,3,7,3,4,5,80,H+L,7,X,O,O
Crouching Fierce,7,4,17,-9,-7,-5,120,H+L,13,X,O,O
Neutral Jumping Jab,5,-,-,-,-,-,40,H,7,X,X,X
Neutral Jumping Strong,6,4,-,-,-,-,90,H,11,X,X,X
Neutral Jumping Fierce,7,2,-,-,-,-,130,H,15,X,X,X
Jumping Jab,4,-,-,-,-,-,50,H,7,X,X,X
Jumping Strong,5,4,-,-,-,-,90,H,9,X,X,X
Jumping Fierce,6,3,-,-,-,-,130,H,13,X,X,X
Short,4,3,7,2,2,2,30,H+L,3,X,X,X
Forward,6,3,15,-2,-1,0,90,H+L,5,X,X,X
Roundhouse,5,4,10,2,4,6,145,H,11,X,X,X
Far Roundhouse,7,3,26,-9,-7,-5,120(100),H,11(9),X,X,X
Crouching Short,5,2,7,1,1,1,20,L,3,O,O,O
Crouching Forward,7,4,17,-4,-3,-2,70,L,3,X,O,O
Crouching Roundhouse,8,4,26,-16,Down,Down,120,L,3,X,X,X
Neutral Jumping Short,5,18,-,-,-,-,50,H,7,X,X,X
Neutral Jumping Forward,5,5,-,-,-,-,90,H,9,X,X,X
Neutral Jumping Roundhouse,7,4,-,-,-,-,130,H,13,X,X,X
Jumping Short,4,9,-,-,-,-,50,H,5,X,X,X
Jumping Forward,5,5,-,-,-,-,90,H,9,X,X,X
Jumping Roundhouse,6,3,-,-,-,-,110,H,13,X,X,X
Towards + Fierce,21,1*4,22,-6,-,-,60+80,H,7+7,X,X,X
Towards + Roundhouse,15,4,18,-5,-,-,90(70),H,9,X,X,X
Throw,2,1,21,-,-,-,120,-,11,X,X,X
Back + Throw,2,1,21,-,-,-,140,-,5,X,X,X
Universal Overhead,16 ~ 23,7,7,-5 ~ 0,0 ~ +7,+1 ~ +8,40,H,3,X,X,X
Taunt,31,1,20,-,-,-,5,H,-,X,X,X
