Messatsu Gou Hadou,QCF x 2 + Punch,4,1,49,-13,55x5+60,H,0
Tenma Gou Zankuu,QCF x 2 + Punch (Air),6,1,13,-,60x5+80,H,0
Messatsu Gou Shoryuu,QCF x 2 + Punch,-,-,-,-,-,-,-
1,-,1,1,-,-,40,H+L,0
-,-,-,3,-,-,40,H+L,3
2,-,13,1,-,-,40,H+L,0
-,-,-,3,-,-,50,H+L,3
3,-,15,1,-,-,120,H+L,9
-,-,-,1,-,-,110,H+L,5
-,-,-,7,37,-25,100,H+L,5
Messatsu Gou Rasen,-,-,-,-,-,-,-,-
Ground,QCF x 2 + Kick,3,1,-,-,70,H+L,0
-,-,(3*4)x8,1,-,-,40x9,H+L,0
-,-,3,1,-,-35,130,H+L,0
Air,QCF x 2 + Kick (Air),8,-,-,-,-,-,-
-,-,-,1,-,-,60,H+L,0
-,-,-,1x3,-,-,55x3,H+L,0
-,-,-,1,-,-,70,H+L,0
-,-,-,1x4,-,-,40x4,H+L,0
-,-,-,1x3,-,-,60x3,H+L,0
-,-,-,1,-,-,40,H+L,0
-,-,-,1x4,-,-,40x4,H+L,0
-,-,-,2,9,-,130,H+L,0
Shun Goku Sastu,"Jab, Jab, Towards, Short, Fierce",1,37,2,-,490,-,0
Kongou Kokuretsu Zan,"Down, Down, Down + 3 Punches",16,5,58,-,370(300),-,15
-,-,-,1*1*1,-,-,55+55+40,H+L,3+3+3
-,-,-,1*1*1,-,-,55+55+40,H+L,3+3+3
-,-,-,1*1*1,-,-25,40+40+40,H+L,3+3+3
