Kikoshou,QCF x2 + Punch,1,1(x3),,,40(x3),H+L,0
,,,1,,,35,H+L,0
,,,1,,,35,H+L,0
,,,1(x3),,,35(x3),H+L,0
,,,1(x2),,,35(x2),H+L,0
,,2(x2),1(x2),,,35(x2),H+L,0
,,2(x2),1(x2),,,35(x2),H+L,0
,,2,1,,,35,H+L,0
,,2(x5),1(x5),48,-38,35(x5),H+L,0
Houyoku Sen,QCF x2 + Kick,3,1,,,30,H,3
,,2,1,,,40,H,3
,,2,1,,,40,H,3
,,2,1,,,40,H,3
,,2,1,,,30,H,3
,,2,1,,,40,H,3
,,2*2,1*1,,,40+40,H,3*3
,,15,1,,,30,H,3
,,2,1,,,40,H,3
,,2,1,,,40,H,3
,,2,1,,,40,H,3
,,2,1,,,30,H,3
,,2,1,,,40,H,3
,,2,1,,,40,H,3
,,2,1,,,40,H,3
Finish,,25,2,35,-23,200,H,9
Tensei Ranka,QCF x2 + Kick,3,2,,,80,H+L,3
,,3*2*2*2,1(x4),,,25(x4),H+L,3(x4)
,,2,1,,,30,H+L,3
,,1,2,,,30,H+L,3
,,1,3,,,30,H+L,3
,,7,1,46,-30,140,H,9
